Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity
Unknown,Female,Junior high school,Employee,1-2yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury
18-30,Male,Junior high school,Employee,5-10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,No distancing,Slight Injury
31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,Other,Serious Injury
31-50,Male,Junior high school,Employee,Above 10yr,One way,Crossing,Asphalt roads,Daylight,Normal,Collision with animals,Moving Backward,Not a Pedestrian,No distancing,Serious Injury
Under 18,Male,Junior high school,Owner,5-10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with animals,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury
Under 18,Male,Elementary school,Employee,2-5yr,other,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with animals,Going straight,Not a Pedestrian,Moving Backward,Slight Injury
31-50,Male,Junior high school,Employee,2-5yr,other,Y Shape,Asphalt roads,Daylight,Unknown,Collision with animals,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury
Under 18,Male,Junior high school,Employee,Below 1yr,One way,Y Shape,Asphalt roads,Daylight,Unknown,Collision with animals,Going straight,Not a Pedestrian,No distancing,Slight Injury
18-30,Male,Junior high school,Employee,2-5yr,One way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with animals,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury
18-30,Male,Junior high school,Employee,2-5yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with animals,Going straight,Not a Pedestrian,Moving Backward,Slight Injury
Over 51,Male,Elementary school,Employee,5-10yr,other,No junction,Asphalt roads,Daylight,Raining,Other,Going straight,Not a Pedestrian,Overtaking,Slight Injury
31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Raining,Rollover,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury
Over 51,Male,Junior high school,Employee,2-5yr,other,Y Shape,Asphalt roads,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,Overtaking,Slight Injury
18-30,Male,Junior high school,Employee,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,Overloading,Slight Injury
31-50,Male,Above high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,Other,Slight Injury
Under 18,Male,Junior high school,Employee,2-5yr,Two-way (divided with solid lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Moving Backward,Slight Injury
Under 18,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury
18-30,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Rollover,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury
31-50,Male,Junior high school,Employee,2-5yr,other,No junction,Asphalt roads,Daylight,Normal,Collision with animals,Reversing,Not a Pedestrian,No distancing,Slight Injury
31-50,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
18-30,Male,High school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Fall from vehicles,Going straight,Not a Pedestrian,No distancing,Slight Injury
31-50,Male,Above high school,Employee,1-2yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Not a Pedestrian,No distancing,Slight Injury
31-50,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with animals,Unknown,Not a Pedestrian,Moving Backward,Slight Injury
31-50,Male,High school,Employee,Below 1yr,other,Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,No priority to pedestrian,Serious Injury
18-30,Male,High school,Employee,Below 1yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Moving Backward,Serious Injury
31-50,Male,High school,Employee,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Overtaking,Slight Injury
Unknown,Female,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Overloading,Slight Injury
Under 18,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Crossing,Gravel roads,Darkness - lights lit,Normal,Collision with roadside objects,Unknown,Not a Pedestrian,Changing lane to the right,Slight Injury
18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Improper parking,Fatal injury
18-30,Male,Junior high school,Employee,1-2yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,Fatal injury
18-30,Male,Unknown,Employee,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,Changing lane to the left,Serious Injury
31-50,Male,Junior high school,Employee,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Rollover,Turnover,Not a Pedestrian,Changing lane to the right,Serious Injury
Over 51,Male,High school,Employee,2-5yr,Undivided Two way,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No priority to pedestrian,Slight Injury
31-50,Male,Junior high school,Owner,1-2yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Overspeed,Slight Injury
31-50,Unknown,Junior high school,Employee,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Not a Pedestrian,Changing lane to the left,Slight Injury
18-30,Male,Elementary school,Employee,2-5yr,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Moving Backward,Unknown or other,No priority to vehicle,Slight Injury
18-30,Female,Elementary school,Owner,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,Serious Injury
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,No distancing,Serious Injury
31-50,Unknown,Junior high school,Employee,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown or other,No priority to pedestrian,Slight Injury
31-50,Male,High school,Employee,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Rollover,Going straight,Unknown or other,No distancing,Slight Injury
18-30,Male,Junior high school,Employee,5-10yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,Slight Injury
31-50,Male,Junior high school,Employee,2-5yr,Unknown,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the left,Slight Injury
18-30,Male,Junior high school,Employee,1-2yr,Double carriageway (median),Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
18-30,Male,Elementary school,Employee,5-10yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
Over 51,Male,Junior high school,Employee,5-10yr,One way,Crossing,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,Slight Injury
31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
Unknown,Female,Junior high school,Employee,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
Over 51,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Gravel roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,Slight Injury
Under 18,Male,Elementary school,Other,5-10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
18-30,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,Slight Injury
18-30,Male,Elementary school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,Slight Injury
18-30,Male,Junior high school,Employee,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Reversing,Not a Pedestrian,No priority to vehicle,Slight Injury
Over 51,Male,Elementary school,Employee,1-2yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Overtaking,Slight Injury
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),Crossing,Earth roads,Daylight,Normal,Collision with roadside objects,Moving Backward,Not a Pedestrian,No distancing,Slight Injury
31-50,Male,High school,Owner,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
18-30,Male,Junior high school,Employee,1-2yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Unknown or other,Driving carelessly,Slight Injury
18-30,Unknown,Junior high school,Employee,1-2yr,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Unknown or other,Changing lane to the right,Slight Injury
31-50,Male,Above high school,Owner,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Not a Pedestrian,Overtaking,Slight Injury
31-50,Male,Elementary school,Owner,2-5yr,other,No junction,Asphalt roads,Daylight,Normal,Rollover,Unknown,Not a Pedestrian,Driving to the left,Serious Injury
31-50,Male,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving at high speed,Slight Injury
18-30,Male,Junior high school,Employee,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
31-50,Male,Junior high school,Employee,2-5yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,No distancing,Slight Injury
31-50,Male,Junior high school,Employee,5-10yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,Slight Injury
31-50,Male,Junior high school,Employee,Above 10yr,Two-way (divided with broken lines road marking),No junction,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown or other,No priority to vehicle,Serious Injury
18-30,Male,Elementary school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Not a Pedestrian,Changing lane to the left,Serious Injury
18-30,Male,Elementary school,Owner,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,Slight Injury
31-50,Unknown,Junior high school,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Turnover,Not a Pedestrian,Overtaking,Slight Injury
31-50,Male,Junior high school,Employee,5-10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,Slight Injury
Unknown,Female,Junior high school,Employee,2-5yr,Double carriageway (median),No junction,Other,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,Slight Injury
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Gravel roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown,Not a Pedestrian,No priority to pedestrian,Slight Injury
31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Changing lane to the right,Slight Injury
Over 51,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Not a Pedestrian,Moving Backward,Slight Injury
